id,user_id,first_name,last_name,email,phone,hire_date,status,department_id,job_id,manager_id
emp-52,,Salma,Tazi,salmatazi.645aaf@pulse.com,(971)865-7262x84987,2024-09-05,actif,dep-1,job-3,emp-14
emp-53,,Fatima,El Idrissi,fatimaelidrissi.a1d620@pulse.com,001-845-731-4737,2022-08-05,actif,dep-1,job-3,emp-8
emp-54,,Nizar,Zerouali,nizarzerouali.346899@pulse.com,552.373.5454x9480,2022-09-28,inactif,dep-5,job-27,emp-10
emp-55,,Oussama,El Malki,oussamaelmalki.3c9244@pulse.com,001-567-683-7770x1436,2025-10-20,suspendu,dep-2,job-12,emp-demo-fatima
emp-56,,Walid,Lahlou,walidlahlou.a8e7dd@pulse.com,001-757-988-5685,2023-07-24,inactif,dep-6,job-30,emp-2
emp-57,,Walid,El Fassi,walidelfassi.0fb4e7@pulse.com,0385313518,2026-01-06,actif,dep-3,job-19,emp-11
emp-58,,Fatima,El Fassi,fatimaelfassi.a20a90@pulse.com,(333)574-9894,2021-10-21,suspendu,dep-3,job-19,emp-9
emp-59,,Laila,El Amrani,lailaelamrani.e4ff1f@pulse.com,+33 4 93 24 08 24,2021-07-27,actif,dep-6,job-32,emp-9
emp-60,,Oussama,Bouazza,oussamabouazza.9dcae9@pulse.com,9849271094,2024-10-04,actif,dep-1,job-1,emp-5
emp-61,,Ilias,El Malki,iliaselmalki.868e24@pulse.com,0339047116,2023-07-29,inactif,dep-5,job-26,emp-16
emp-62,,Fatima,El Malki,fatimaelmalki.dd8e59@pulse.com,+33 (0)1 78 22 94 13,2023-06-16,actif,dep-5,job-27,emp-demo-fatima
emp-63,,Ilias,Cherkaoui,iliascherkaoui.6a1843@pulse.com,+1-969-699-3867,2025-06-14,inactif,dep-6,job-30,emp-7
emp-64,,Tariq,Mansouri,tariqmansouri.8c2c16@pulse.com,(349)490-9133x41232,2024-07-10,actif,dep-6,job-32,emp-9
emp-65,,Khaoula,Bennani,khaoulabennani.1f5980@pulse.com,(579)874-0344x71349,2023-09-10,actif,dep-5,job-28,emp-16
emp-66,,Meryem,El Fassi,meryemelfassi.b7f1cd@pulse.com,+1-632-942-1024,2024-01-09,actif,dep-5,job-28,emp-10
emp-67,,Saad,Bouzid,saadbouzid.ed9785@pulse.com,746.648.8771x906,2023-01-03,actif,dep-2,job-8,emp-20
emp-68,,Ilias,Chraibi,iliaschraibi.e862de@pulse.com,939-990-4902,2022-09-04,actif,dep-6,job-32,emp-4
emp-69,,Fatima,Guessous,fatimaguessous.c44997@pulse.com,+33 5 86 71 75 65,2023-12-20,actif,dep-5,job-26,emp-12
emp-70,,Ayoub,Amrani,ayoubamrani.701177@pulse.com,+33 (0)2 99 56 74 68,2022-03-30,actif,dep-4,job-22,emp-12
emp-71,,Hanane,Berrada,hananeberrada.03f8a3@pulse.com,215.545.1680x876,2025-12-03,suspendu,dep-2,job-9,emp-10
emp-72,,Youssef,Zerouali,youssefzerouali.688a79@pulse.com,(397)270-3482x477,2022-03-01,actif,dep-1,job-4,emp-4
emp-73,,Bilal,Cherkaoui,bilalcherkaoui.9c1431@pulse.com,+1-332-448-0861x317,2025-12-26,actif,dep-4,job-25,emp-7
emp-74,,Bilal,Daoudi,bilaldaoudi.365497@pulse.com,0423677378,2023-12-09,actif,dep-6,job-33,emp-2
emp-75,,Laila,Lahlou,lailalahlou.df65f7@pulse.com,(639)982-1465x8404,2022-12-15,actif,dep-4,job-22,emp-13
emp-76,,Walid,Lahlou,walidlahlou.e59bad@pulse.com,887.555.8867x533,2022-03-11,actif,dep-3,job-17,emp-7
emp-77,,Imane,El Fassi,imaneelfassi.720e6b@pulse.com,+33 (0)4 71 76 62 70,2023-04-09,actif,dep-4,job-24,emp-demo-sara
emp-78,,Hajar,El Malki,hajarelmalki.3a0403@pulse.com,695.717.1870x26217,2025-09-15,actif,dep-5,job-26,emp-9
emp-79,,Nizar,El Idrissi,nizarelidrissi.1f4966@pulse.com,001-561-658-6578x091,2025-08-09,actif,dep-4,job-25,emp-9
emp-80,,Walid,Bouzid,walidbouzid.a50958@pulse.com,001-716-711-7240x0504,2024-02-20,actif,dep-3,job-20,emp-4
emp-81,,Laila,Amrani,lailaamrani.545efc@pulse.com,+33 3 82 86 92 22,2022-02-17,inactif,dep-2,job-14,emp-20
emp-82,,Rachid,Bouazza,rachidbouazza.d6732a@pulse.com,+1-269-937-9237x474,2021-11-19,actif,dep-6,job-30,emp-15
emp-83,,Kenza,Bennani,kenzabennani.eed3f8@pulse.com,+33 2 21 75 94 64,2023-04-02,actif,dep-3,job-20,emp-demo-karim
emp-84,,Hanane,Amrani,hananeamrani.0dde0c@pulse.com,0355671369,2026-02-04,actif,dep-4,job-23,emp-5
emp-85,,Nada,Benali,nadabenali.1e3722@pulse.com,0450064090,2025-10-17,suspendu,dep-2,job-8,emp-8
emp-86,,Fatima,Guessous,fatimaguessous.bd8c80@pulse.com,001-674-939-5339x4210,2022-04-09,actif,dep-1,job-5,emp-3
emp-87,,Hamza,Bouazza,hamzabouazza.edf18f@pulse.com,001-452-714-5623,2025-09-18,actif,dep-4,job-23,emp-3
emp-88,,Hamza,Bennani,hamzabennani.7ce69a@pulse.com,742.347.4517x12368,2021-07-23,suspendu,dep-1,job-5,emp-6
emp-89,,Rachid,Amrani,rachidamrani.3b5127@pulse.com,+33 (0)4 13 81 75 49,2024-09-25,actif,dep-2,job-8,emp-19
emp-90,,Hamza,El Idrissi,hamzaelidrissi.f51033@pulse.com,0245370985,2025-11-17,inactif,dep-5,job-26,emp-18
emp-91,,Nizar,Zerouali,nizarzerouali.2738bb@pulse.com,617.946.1200,2021-10-20,actif,dep-6,job-32,emp-10
emp-92,,Soukaina,El Malki,soukainaelmalki.251085@pulse.com,438-826-7586,2023-06-12,actif,dep-1,job-4,emp-12
emp-93,,Karim,El Malki,karimelmalki.a06993@pulse.com,979-564-0537,2024-11-13,actif,dep-6,job-32,emp-2
emp-94,,Adil,Daoudi,adildaoudi.4110ae@pulse.com,+33 (0)4 98 85 06 43,2023-03-23,inactif,dep-6,job-32,emp-10
emp-95,,Mehdi,Lahlou,mehdilahlou.7d1b74@pulse.com,513.590.0532x931,2024-08-11,actif,dep-2,job-14,emp-11
emp-96,,Fatima,Bouzid,fatimabouzid.9c425b@pulse.com,729-504-2284x21020,2022-08-09,actif,dep-2,job-14,emp-7
emp-97,,Meryem,Cherkaoui,meryemcherkaoui.3fb192@pulse.com,302-940-2681x17758,2024-04-24,suspendu,dep-3,job-17,emp-19
emp-98,,Amina,El Malki,aminaelmalki.2bd614@pulse.com,890.884.7007,2025-04-15,actif,dep-5,job-27,emp-12
emp-99,,Hicham,Alaoui,hichamalaoui.533358@pulse.com,477-611-5921,2023-09-07,actif,dep-3,job-18,emp-demo-sara
emp-100,,Zineb,Tahiri,zinebtahiri.c0bcb2@pulse.com,+1-398-556-9847x8961,2023-10-20,inactif,dep-5,job-28,emp-12
